Project,Location,Grid,Waypoint,Site,Frame,Time,Period,Ptime,OpCode,Reader,Family,Genus,Species,Species_sp,Full_name,Common_name,Code,MaxN,Has_fed,Frame_in,Frame_out,Start,End,Duration,Movie,Lat,Lon
NERP 2012,Oceanic Shoals,2,WP61,61,139822,93.2147,3H,92.2013,WP61,Luciana,Carangidae,Carangoides,armatus,,Carangoides armatus,Longfin trevally,99123,1,No,869,289318,0.58,192.88,192.3,192.88,-11.846099,127.082266
NERP 2012,Oceanic Shoals,2,WP61,61,19974,13.316,3H,12.3027,WP61,Luciana,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,1,No,869,289318,0.58,192.88,192.3,192.88,-11.846099,127.082266
NERP 2012,Oceanic Shoals,2,WP61,61,225067,150.0447,3H,149.0313,WP61,Luciana,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,2,No,869,289318,0.58,192.88,192.3,192.88,-11.846099,127.082266
NERP 2012,Oceanic Shoals,2,WP61,61,219832,146.5547,3H,145.5413,WP61,Luciana,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,6,No,869,289318,0.58,192.88,192.3,192.88,-11.846099,127.082266
NERP 2012,Oceanic Shoals,2,WP62,62,116072,77.3813,3H,76.3967,WP62,Luciana,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,44,No,693,301558,0.46,201.04,200.58,201.03,-11.86505,127.07855
NERP 2012,Oceanic Shoals,2,WP62,62,188915,125.9433,3H,124.9587,WP62,Luciana,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,1,No,693,301558,0.46,201.04,200.58,201.03,-11.86505,127.07855
NERP 2012,Oceanic Shoals,2,WP62,62,244513,163.0087,3H,162.024,WP62,Luciana,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,3,No,693,301558,0.46,201.04,200.58,201.03,-11.86505,127.07855
NERP 2012,Oceanic Shoals,2,WP62,62,243942,162.628,3H,161.6433,WP62,Luciana,Sphyrnidae,Sphyrna,lewini,,Sphyrna lewini,Scalloped hammerhead,37019001,1,No,693,301558,0.46,201.04,200.58,201.03,-11.86505,127.07855
NERP 2012,Oceanic Shoals,2,WP63,63,285055,190.0367,3H+,NA,WP63,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,10,No,652,302443,0.43,201.63,201.19,201.63,-11.858499,127.07305
NERP 2012,Oceanic Shoals,2,WP63,63,284685,189.79,3H+,NA,WP63,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,1,No,652,302443,0.43,201.63,201.19,201.63,-11.858499,127.07305
NERP 2012,Oceanic Shoals,2,WP64,64,178696,119.1307,3H,117.278,WP64,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,8,No,852,276552,0.57,184.37,183.8,184.37,-11.852433,127.063716
NERP 2012,Oceanic Shoals,2,WP64,64,127160,84.7733,3H,82.9207,WP64,Phil,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,1,No,852,276552,0.57,184.37,183.8,184.37,-11.852433,127.063716
NERP 2012,Oceanic Shoals,2,WP64,64,228766,152.5107,3H,150.658,WP64,Phil,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018013,1,No,852,276552,0.57,184.37,183.8,184.37,-11.852433,127.063716
NERP 2012,Oceanic Shoals,2,WP64,64,55657,37.1047,3H,35.252,WP64,Phil,Echeneidae,Echeneis,naucrates,,Echeneis naucrates,Sharksucker,37336001,1,No,852,276552,0.57,184.37,183.8,184.37,-11.852433,127.063716
NERP 2012,Oceanic Shoals,2,WP64,64,13842,9.228,3H,7.3753,WP64,Phil,Monacanthidae,Paramonacanthus,filicauda,,Paramonacanthus filicauda,Threadfin leatherjacket,37465024,1,No,852,276552,0.57,184.37,183.8,184.37,-11.852433,127.063716
NERP 2012,Oceanic Shoals,2,WP65,65,229606,153.0707,3H,152.0687,WP65,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,30,No,485,263496,0.32,175.66,175.34,175.67,-11.868399,127.067616
NERP 2012,Oceanic Shoals,2,WP65,65,71229,47.486,3H,46.484,WP65,Phil,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,1,No,485,263496,0.32,175.66,175.34,175.67,-11.868399,127.067616
NERP 2012,Oceanic Shoals,2,WP66,66,208514,139.0093,3H,138.0473,WP66,Phil,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,8,No,479,267840,0.32,178.56,178.24,178.57,-11.865083,127.057283
NERP 2012,Oceanic Shoals,2,WP66,66,155999,103.9993,3H,103.0373,WP66,Phil,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,4,No,479,267840,0.32,178.56,178.24,178.57,-11.865083,127.057283
